Time,Values
0.145,-0.098875767
0.1455,-0.109677118
0.146,-0.111038221
0.1465,-0.101522661
0.147,-0.101112957
0.1475,-0.09183912
0.148,-0.050235095
0.1485,0.008835549
0.149,0.051915653
0.1495,0.072570077
0.15,0.074082102
0.1505,0.07349409
0.151,0.079852516
0.1515,0.083299793
0.152,0.079886068
0.1525,0.086957445
0.153,0.110374041
0.1535,0.134374346
0.154,0.141957489
0.1545,0.132416751
0.155,0.112329707
0.1555,0.093476609
0.156,0.083275969
0.1565,0.078763853
0.157,0.07746613
0.1575,0.077794736
0.158,0.074471691
0.1585,0.072730124
0.159,0.073936209
0.1595,0.059526246
0.16,0.012445842
0.1605,-0.072448801
0.161,-0.146584202
0.1615,-0.17077649
0.162,-0.162696472
0.1625,-0.147665257
0.163,-0.128994125
0.1635,-0.107841284
0.164,-0.08216434
0.1645,-0.053112654
0.165,-0.03682328
0.1655,-0.023085131
0.166,0.007933403
0.1665,0.046516186
0.167,0.06653707
0.1675,0.066010225
0.168,0.060022325
0.1685,0.064697437
0.169,0.075195139
0.1695,0.076948589
0.17,0.06617435
0.1705,0.052413999
0.171,0.046868048
0.1715,0.042292853
0.172,0.030338926
0.1725,0.011216801
0.173,-0.012422636
0.1735,-0.03905199
0.174,-0.079048599
0.1745,-0.108515246
0.175,-0.101695637
0.1755,-0.077247892
0.176,-0.06519997
0.1765,-0.073270516
0.177,-0.096876103
0.1775,-0.109185402
0.178,-0.101959943
0.1785,-0.093504383
0.179,-0.090929731
0.1795,-0.083459319
0.18,-0.068255898
0.1805,-0.055689897
0.181,-0.046850504
0.1815,-0.041251969
0.182,-0.039936957
0.1825,-0.037896865
0.183,-0.026115266
0.1835,-0.00246222
0.184,0.02744501
0.1845,0.056960295
0.185,0.082531536
0.1855,0.103634031
0.186,0.121075562
0.1865,0.13357651
0.187,0.134875454
0.1875,0.108344937
0.188,0.077942562
0.1885,0.064455136
0.189,0.064090432
0.1895,0.079505318
0.19,0.111740228
0.1905,0.136519405
0.191,0.150639641
0.1915,0.158392314
0.192,0.151128669
0.1925,0.122251045
0.193,0.080794255
0.1935,0.030180909
0.194,-0.026765321
0.1945,-0.084485591
0.195,-0.129308492
0.1955,-0.153152577
0.196,-0.149718232
0.1965,-0.130449216
0.197,-0.119384626
0.1975,-0.1288543
0.198,-0.138502827
0.1985,-0.124206449
0.199,-0.081804623
0.1995,-0.037489111
0.2,-0.006002739
0.2005,0.000329658
0.201,-0.023324551
0.2015,-0.047225397
0.202,-0.045175301
0.2025,-0.022646158
0.203,0.006896537
0.2035,0.038489856
0.204,0.061305047
0.2045,0.076281898
0.205,0.085857537
0.2055,0.083648243
0.206,0.076163513
0.2065,0.08962542
0.207,0.120511356
0.2075,0.135305819
0.208,0.109426844
0.2085,0.059832918
0.209,0.016430712
0.2095,-0.011060287
0.21,-0.039942212
0.2105,-0.07035612
0.211,-0.096564044
0.2115,-0.116053961
0.212,-0.127670911
0.2125,-0.137289843
0.213,-0.141826722
0.2135,-0.124619038
0.214,-0.09804917
0.2145,-0.086878316
0.215,-0.07939868
0.2155,-0.042035292
0.216,0.009488895
0.2165,0.059626002
0.217,0.098314706
0.2175,0.118575001
0.218,0.125653463
0.2185,0.12750734
0.219,0.122141052
0.2195,0.117836253
0.22,0.123417281
0.2205,0.135750207
0.221,0.139813066
0.2215,0.130617774
0.222,0.106574943
0.2225,0.081665149
0.223,0.060444456
0.2235,0.046106855
0.224,0.037938196
0.2245,0.033124836
0.225,0.022969705
0.2255,0.009822903
0.226,-0.003837196
0.2265,-0.027256722
0.227,-0.067891043
0.2275,-0.11373078
0.228,-0.151045709
0.2285,-0.159148522
0.229,-0.13862664
0.2295,-0.12322316
0.23,-0.120592632
0.2305,-0.117015286
0.231,-0.102515067
0.2315,-0.078723296
0.232,-0.060616986
0.2325,-0.067183618
0.233,-0.081982969
0.2335,-0.076320624
0.234,-0.047868255
0.2345,-0.024659774
0.235,-0.018646378
0.2355,-0.01642784
0.236,0.011239837
0.2365,0.060867232
0.237,0.106787102
0.2375,0.114526535
0.238,0.091574367
0.2385,0.057416983
0.239,0.037923495
0.2395,0.034742219
0.24,0.049090202
0.2405,0.062536119
0.241,0.058081049
0.2415,0.010908656
0.242,-0.038874086
0.2425,-0.068303937
0.243,-0.083883713
0.2435,-0.103050729
0.244,-0.116224478
0.2445,-0.131128843
0.245,-0.133817412
0.2455,-0.137831052
0.246,-0.133550388
0.2465,-0.117367322
0.247,-0.070656181
0.2475,-0.034208592
0.248,-0.023143021
0.2485,-0.036832899
0.249,-0.02760217
0.2495,0.006924629
0.25,0.050424155
0.2505,0.058126285
0.251,0.035875805
0.2515,0.008785168
0.252,0.022689305
0.2525,0.059434691
0.253,0.093190417
0.2535,0.095316431
0.254,0.1018652
0.2545,0.116490885
0.255,0.135860101
0.2555,0.153904175
0.256,0.189050438
0.2565,0.213046484
0.257,0.232780454
0.2575,0.231172688
0.258,0.199556771
0.2585,0.135538316
0.259,0.076052499
0.2595,0.0314528
0.26,0.017643838
0.2605,0.01727529
0.261,0.013270316
0.2615,-0.02171667
0.262,-0.064068975
0.2625,-0.097929178
0.263,-0.11542873
0.2635,-0.130317607
0.264,-0.136547637
0.2645,-0.13257487
0.265,-0.11856615
0.2655,-0.115780595
0.266,-0.110607094
0.2665,-0.077316174
0.267,-0.016317981
0.2675,0.036115657
0.268,0.044727689
0.2685,-0.002727329
0.269,-0.04313234
0.2695,-0.026653591
0.27,0.027368646
0.2705,0.080623039
0.271,0.109227713
0.2715,0.108149962
0.272,0.094932739
0.2725,0.073395155
0.273,0.045499844
0.2735,0.030258646
0.274,0.051073323
0.2745,0.086603441
0.275,0.09325053
0.2755,0.051415389
0.276,-0.012184697
0.2765,-0.072248123
0.277,-0.113254161
0.2775,-0.142209243
0.278,-0.16172047
0.2785,-0.173510416
0.279,-0.167256239
0.2795,-0.151686252
0.28,-0.137204587
0.2805,-0.135803759
0.281,-0.13464294
0.2815,-0.126445715
0.282,-0.091440739
0.2825,-0.03039284
0.283,0.041133443
0.2835,0.079057008
0.284,0.091679528
0.2845,0.083047459
0.285,0.066132738
0.2855,0.052857954
0.286,0.063221878
0.2865,0.071570971
0.287,0.068738615
0.2875,0.065676806
0.288,0.088612915
0.2885,0.122224572
0.289,0.15223074
0.2895,0.15760599
0.29,0.156676961
0.2905,0.154777966
0.291,0.152903244
0.2915,0.127605393
0.292,0.092144492
0.2925,0.054949849
0.293,0.032105204
0.2935,-0.000625124
0.294,-0.05258467
0.2945,-0.116729492
0.295,-0.159787858
0.2955,-0.19200317
0.296,-0.193567646
0.2965,-0.167131206
0.297,-0.124656024
0.2975,-0.091199619
0.298,-0.063214833
0.2985,-0.050099592
0.299,-0.03023805
0.2995,-0.003495262
0.3,0.032699634
0.3005,0.062806061
0.301,0.093491319
0.3015,0.112941198
0.302,0.119948127
0.3025,0.100951369
0.303,0.070570194
0.3035,0.03787077
0.304,0.025333818
0.3045,0.034941536
0.305,0.063707849
0.3055,0.083116575
0.306,0.080537068
0.3065,0.055964785
0.307,0.023818589
0.3075,-0.015268465
0.308,-0.053595815
0.3085,-0.10463125
0.309,-0.158054713
0.3095,-0.18507668
