,Time,Values
102,0.051,1.197458456
103,0.0515,1.207233627
104,0.052,1.207233627
105,0.0525,1.207233627
106,0.053,1.207233627
107,0.0535,1.187683284
108,0.054,1.163245357
109,0.0545,1.143695015
110,0.055,1.138807429
111,0.0555,1.129032258
112,0.056,1.119257087
113,0.0565,1.129032258
114,0.057,1.138807429
115,0.0575,1.124144673
116,0.058,1.089931574
117,0.0585,1.055718475
118,0.059,1.036168133
119,0.0595,1.021505376
120,0.06,1.055718475
121,0.0605,1.094819159
122,0.061,1.10459433
123,0.0615,1.133919844
124,0.062,1.173020528
125,0.0625,1.207233627
126,0.063,1.260997067
127,0.0635,1.324535679
128,0.064,1.353861193
129,0.0645,1.358748778
130,0.065,1.368523949
131,0.0655,1.37829912
132,0.066,1.368523949
133,0.0665,1.33431085
134,0.067,1.309872923
135,0.0675,1.304985337
136,0.068,1.329423265
137,0.0685,1.348973607
138,0.069,1.348973607
139,0.0695,1.33431085
140,0.07,1.319648094
141,0.0705,1.309872923
142,0.071,1.295210166
143,0.0715,1.270772239
144,0.072,1.231671554
145,0.0725,1.212121212
146,0.073,1.221896383
147,0.0735,1.256109482
148,0.074,1.270772239
149,0.0745,1.260997067
150,0.075,1.290322581
151,0.0755,1.319648094
152,0.076,1.304985337
153,0.0765,1.285434995
154,0.077,1.270772239
155,0.0775,1.251221896
156,0.078,1.260997067
157,0.0785,1.300097752
158,0.079,1.339198436
159,0.0795,1.348973607
160,0.08,1.339198436
161,0.0805,1.344086022
162,0.081,1.363636364
163,0.0815,1.368523949
164,0.082,1.339198436
165,0.0825,1.304985337
166,0.083,1.300097752
167,0.0835,1.285434995
168,0.084,1.256109482
169,0.0845,1.221896383
170,0.085,1.212121212
171,0.0855,1.207233627
172,0.086,1.19257087
173,0.0865,1.168132942
174,0.087,1.187683284
175,0.0875,1.212121212
176,0.088,1.19257087
177,0.0885,1.177908113
178,0.089,1.177908113
179,0.0895,1.163245357
180,0.09,1.1485826
181,0.0905,1.133919844
182,0.091,1.119257087
183,0.0915,1.138807429
184,0.092,1.182795699
185,0.0925,1.202346041
186,0.093,1.207233627
187,0.0935,1.221896383
188,0.094,1.241446725
