,Time,Values
161,0.0805,2.732160313
162,0.081,2.737047898
163,0.0815,2.746823069
164,0.082,2.75659824
165,0.0825,2.761485826
166,0.083,2.761485826
167,0.0835,2.75659824
168,0.084,2.751710655
169,0.0845,2.751710655
170,0.085,2.751710655
171,0.0855,2.761485826
172,0.086,2.766373412
173,0.0865,2.766373412
174,0.087,2.761485826
175,0.0875,2.761485826
176,0.088,2.761485826
177,0.0885,2.761485826
178,0.089,2.761485826
179,0.0895,2.751710655
180,0.09,2.737047898
181,0.0905,2.727272727
182,0.091,2.727272727
183,0.0915,2.722385142
184,0.092,2.727272727
185,0.0925,2.727272727
186,0.093,2.732160313
187,0.0935,2.737047898
188,0.094,2.741935484
189,0.0945,2.741935484
190,0.095,2.737047898
191,0.0955,2.746823069
192,0.096,2.751710655
193,0.0965,2.746823069
194,0.097,2.737047898
195,0.0975,2.727272727
196,0.098,2.727272727
197,0.0985,2.737047898
198,0.099,2.741935484
199,0.0995,2.751710655
200,0.1,2.761485826
201,0.1005,2.766373412
202,0.101,2.771260997
203,0.1015,2.766373412
204,0.102,2.761485826
205,0.1025,2.766373412
206,0.103,2.75659824
207,0.1035,2.741935484
208,0.104,2.751710655
209,0.1045,2.75659824
210,0.105,2.746823069
211,0.1055,2.737047898
212,0.106,2.737047898
213,0.1065,2.737047898
214,0.107,2.741935484
215,0.1075,2.741935484
216,0.108,2.737047898
217,0.1085,2.732160313
218,0.109,2.741935484
219,0.1095,2.746823069
220,0.11,2.741935484
221,0.1105,2.737047898
222,0.111,2.732160313
223,0.1115,2.737047898
224,0.112,2.741935484
225,0.1125,2.751710655
226,0.113,2.75659824
227,0.1135,2.75659824
228,0.114,2.751710655
229,0.1145,2.75659824
230,0.115,2.761485826
231,0.1155,2.766373412
232,0.116,2.766373412
233,0.1165,2.766373412
234,0.117,2.761485826
235,0.1175,2.771260997
236,0.118,2.776148583
237,0.1185,2.771260997
238,0.119,2.766373412
239,0.1195,2.766373412
240,0.12,2.766373412
241,0.1205,2.771260997
242,0.121,2.776148583
243,0.1215,2.776148583
244,0.122,2.771260997
245,0.1225,2.766373412
246,0.123,2.761485826
247,0.1235,2.761485826
248,0.124,2.75659824
249,0.1245,2.746823069
250,0.125,2.746823069
251,0.1255,2.751710655
252,0.126,2.75659824
253,0.1265,2.751710655
254,0.127,2.751710655
255,0.1275,2.746823069
256,0.128,2.746823069
257,0.1285,2.741935484
258,0.129,2.737047898
259,0.1295,2.737047898
260,0.13,2.727272727
261,0.1305,2.717497556
262,0.131,2.712609971
263,0.1315,2.727272727
264,0.132,2.741935484
265,0.1325,2.746823069
266,0.133,2.75659824
267,0.1335,2.766373412
268,0.134,2.771260997
269,0.1345,2.776148583
270,0.135,2.771260997
271,0.1355,2.771260997
272,0.136,2.776148583
273,0.1365,2.771260997
274,0.137,2.761485826
275,0.1375,2.751710655
276,0.138,2.741935484
277,0.1385,2.737047898
278,0.139,2.732160313
279,0.1395,2.727272727
280,0.14,2.727272727
281,0.1405,2.727272727
282,0.141,2.722385142
283,0.1415,2.712609971
284,0.142,2.707722385
285,0.1425,2.707722385
286,0.143,2.7028348
287,0.1435,2.697947214
288,0.144,2.693059629
289,0.1445,2.697947214
290,0.145,2.7028348
291,0.1455,2.7028348
292,0.146,2.717497556
293,0.1465,2.732160313
294,0.147,2.741935484
295,0.1475,2.741935484
296,0.148,2.746823069
297,0.1485,2.746823069
298,0.149,2.751710655
299,0.1495,2.766373412
300,0.15,2.785923754
301,0.1505,2.795698925
302,0.151,2.795698925
303,0.1515,2.790811339
304,0.152,2.790811339
305,0.1525,2.790811339
306,0.153,2.781036168
307,0.1535,2.771260997
308,0.154,2.766373412
309,0.1545,2.766373412
310,0.155,2.761485826
311,0.1555,2.751710655
312,0.156,2.741935484
313,0.1565,2.732160313
314,0.157,2.722385142
315,0.1575,2.712609971
316,0.158,2.717497556
317,0.1585,2.732160313
318,0.159,2.727272727
319,0.1595,2.722385142
320,0.16,2.722385142
321,0.1605,2.717497556
322,0.161,2.722385142
323,0.1615,2.722385142
324,0.162,2.717497556
325,0.1625,2.717497556
326,0.163,2.727272727
327,0.1635,2.727272727
328,0.164,2.727272727
329,0.1645,2.722385142
330,0.165,2.722385142
331,0.1655,2.722385142
332,0.166,2.732160313
333,0.1665,2.737047898
334,0.167,2.751710655
335,0.1675,2.761485826
336,0.168,2.761485826
337,0.1685,2.75659824
338,0.169,2.751710655
339,0.1695,2.751710655
340,0.17,2.751710655
341,0.1705,2.751710655
342,0.171,2.746823069
343,0.1715,2.751710655
344,0.172,2.751710655
345,0.1725,2.741935484
346,0.173,2.732160313
347,0.1735,2.727272727
348,0.174,2.722385142
349,0.1745,2.727272727
350,0.175,2.737047898
351,0.1755,2.741935484
352,0.176,2.746823069
353,0.1765,2.75659824
354,0.177,2.766373412
355,0.1775,2.761485826
356,0.178,2.75659824
357,0.1785,2.751710655
358,0.179,2.75659824
359,0.1795,2.761485826
360,0.18,2.766373412
361,0.1805,2.766373412
362,0.181,2.761485826
363,0.1815,2.761485826
364,0.182,2.766373412
365,0.1825,2.761485826
366,0.183,2.75659824
367,0.1835,2.751710655
368,0.184,2.75659824
369,0.1845,2.75659824
370,0.185,2.761485826
371,0.1855,2.766373412
372,0.186,2.766373412
373,0.1865,2.766373412
374,0.187,2.771260997
375,0.1875,2.771260997
376,0.188,2.766373412
377,0.1885,2.761485826
378,0.189,2.746823069
379,0.1895,2.746823069
380,0.19,2.751710655
381,0.1905,2.75659824
382,0.191,2.751710655
383,0.1915,2.746823069
384,0.192,2.751710655
385,0.1925,2.75659824
386,0.193,2.75659824
387,0.1935,2.751710655
388,0.194,2.746823069
389,0.1945,2.741935484
390,0.195,2.741935484
391,0.1955,2.746823069
392,0.196,2.751710655
393,0.1965,2.75659824
394,0.197,2.746823069
395,0.1975,2.741935484
396,0.198,2.737047898
397,0.1985,2.751710655
398,0.199,2.771260997
399,0.1995,2.776148583
400,0.2,2.781036168
401,0.2005,2.785923754
402,0.201,2.785923754
403,0.2015,2.785923754
404,0.202,2.785923754
405,0.2025,2.776148583
406,0.203,2.766373412
407,0.2035,2.766373412
408,0.204,2.766373412
409,0.2045,2.751710655
410,0.205,2.741935484
411,0.2055,2.737047898
412,0.206,2.732160313
413,0.2065,2.727272727
414,0.207,2.717497556
415,0.2075,2.712609971
416,0.208,2.717497556
417,0.2085,2.717497556
418,0.209,2.717497556
419,0.2095,2.712609971
420,0.21,2.712609971
421,0.2105,2.712609971
422,0.211,2.717497556
423,0.2115,2.712609971
424,0.212,2.722385142
425,0.2125,2.732160313
426,0.213,2.737047898
427,0.2135,2.741935484
428,0.214,2.746823069
429,0.2145,2.751710655
430,0.215,2.75659824
431,0.2155,2.766373412
432,0.216,2.761485826
433,0.2165,2.761485826
434,0.217,2.771260997
435,0.2175,2.781036168
436,0.218,2.785923754
437,0.2185,2.785923754
438,0.219,2.781036168
439,0.2195,2.776148583
440,0.22,2.771260997
441,0.2205,2.771260997
442,0.221,2.771260997
443,0.2215,2.766373412
444,0.222,2.75659824
445,0.2225,2.741935484
446,0.223,2.737047898
447,0.2235,2.727272727
448,0.224,2.717497556
449,0.2245,2.712609971
450,0.225,2.707722385
451,0.2255,2.712609971
452,0.226,2.722385142
453,0.2265,2.717497556
454,0.227,2.712609971
455,0.2275,2.712609971
456,0.228,2.712609971
457,0.2285,2.707722385
458,0.229,2.707722385
459,0.2295,2.707722385
460,0.23,2.712609971
461,0.2305,2.722385142
462,0.231,2.727272727
463,0.2315,2.727272727
464,0.232,2.722385142
465,0.2325,2.722385142
466,0.233,2.727272727
467,0.2335,2.737047898
468,0.234,2.746823069
469,0.2345,2.75659824
470,0.235,2.761485826
471,0.2355,2.75659824
472,0.236,2.75659824
473,0.2365,2.75659824
474,0.237,2.741935484
475,0.2375,2.732160313
476,0.238,2.727272727
477,0.2385,2.722385142
478,0.239,2.732160313
479,0.2395,2.737047898
480,0.24,2.732160313
481,0.2405,2.732160313
482,0.241,2.741935484
483,0.2415,2.741935484
484,0.242,2.741935484
485,0.2425,2.746823069
486,0.243,2.751710655
487,0.2435,2.751710655
488,0.244,2.75659824
489,0.2445,2.75659824
490,0.245,2.75659824
491,0.2455,2.761485826
492,0.246,2.761485826
493,0.2465,2.761485826
494,0.247,2.751710655
495,0.2475,2.741935484
496,0.248,2.741935484
497,0.2485,2.746823069
498,0.249,2.751710655
499,0.2495,2.761485826
500,0.25,2.776148583
501,0.2505,2.785923754
502,0.251,2.795698925
503,0.2515,2.795698925
504,0.252,2.790811339
505,0.2525,2.790811339
506,0.253,2.795698925
507,0.2535,2.790811339
508,0.254,2.790811339
509,0.2545,2.790811339
510,0.255,2.785923754
511,0.2555,2.781036168
512,0.256,2.766373412
513,0.2565,2.751710655
514,0.257,2.746823069
515,0.2575,2.75659824
516,0.258,2.771260997
517,0.2585,2.771260997
518,0.259,2.766373412
519,0.2595,2.761485826
520,0.26,2.751710655
521,0.2605,2.741935484
522,0.261,2.737047898
523,0.2615,2.732160313
524,0.262,2.732160313
525,0.2625,2.732160313
526,0.263,2.737047898
527,0.2635,2.737047898
528,0.264,2.727272727
529,0.2645,2.727272727
530,0.265,2.732160313
531,0.2655,2.727272727
532,0.266,2.732160313
533,0.2665,2.746823069
534,0.267,2.75659824
535,0.2675,2.771260997
536,0.268,2.776148583
537,0.2685,2.771260997
538,0.269,2.771260997
539,0.2695,2.771260997
540,0.27,2.766373412
541,0.2705,2.771260997
542,0.271,2.776148583
543,0.2715,2.776148583
544,0.272,2.766373412
545,0.2725,2.75659824
546,0.273,2.746823069
547,0.2735,2.741935484
548,0.274,2.737047898
549,0.2745,2.727272727
550,0.275,2.727272727
551,0.2755,2.722385142
552,0.276,2.727272727
553,0.2765,2.732160313
554,0.277,2.727272727
555,0.2775,2.722385142
556,0.278,2.717497556
557,0.2785,2.712609971
558,0.279,2.7028348
559,0.2795,2.707722385
560,0.28,2.717497556
561,0.2805,2.717497556
562,0.281,2.712609971
563,0.2815,2.712609971
564,0.282,2.717497556
565,0.2825,2.727272727
566,0.283,2.732160313
567,0.2835,2.737047898
568,0.284,2.741935484
569,0.2845,2.761485826
570,0.285,2.771260997
571,0.2855,2.776148583
572,0.286,2.766373412
573,0.2865,2.75659824
574,0.287,2.746823069
575,0.2875,2.737047898
576,0.288,2.727272727
577,0.2885,2.727272727
578,0.289,2.727272727
579,0.2895,2.727272727
580,0.29,2.727272727
581,0.2905,2.722385142
582,0.291,2.722385142
583,0.2915,2.727272727
584,0.292,2.737047898
585,0.2925,2.737047898
586,0.293,2.746823069
587,0.2935,2.75659824
588,0.294,2.751710655
589,0.2945,2.751710655
590,0.295,2.751710655
591,0.2955,2.751710655
592,0.296,2.75659824
593,0.2965,2.766373412
594,0.297,2.761485826
595,0.2975,2.761485826
596,0.298,2.776148583
597,0.2985,2.781036168
598,0.299,2.781036168
599,0.2995,2.776148583
600,0.3,2.776148583
601,0.3005,2.785923754
602,0.301,2.790811339
603,0.3015,2.790811339
604,0.302,2.790811339
605,0.3025,2.785923754
606,0.303,2.785923754
607,0.3035,2.781036168
608,0.304,2.781036168
609,0.3045,2.776148583
610,0.305,2.771260997
611,0.3055,2.766373412
612,0.306,2.761485826
613,0.3065,2.761485826
614,0.307,2.761485826
615,0.3075,2.746823069
616,0.308,2.737047898
617,0.3085,2.732160313
618,0.309,2.727272727
619,0.3095,2.732160313
620,0.31,2.727272727
621,0.3105,2.712609971
622,0.311,2.707722385
623,0.3115,2.717497556
624,0.312,2.717497556
625,0.3125,2.717497556
626,0.313,2.712609971
627,0.3135,2.712609971
628,0.314,2.712609971
629,0.3145,2.707722385
630,0.315,2.712609971
631,0.3155,2.722385142
632,0.316,2.737047898
633,0.3165,2.746823069
634,0.317,2.751710655
635,0.3175,2.761485826
636,0.318,2.761485826
637,0.3185,2.75659824
638,0.319,2.751710655
639,0.3195,2.751710655
640,0.32,2.746823069
641,0.3205,2.746823069
642,0.321,2.741935484
643,0.3215,2.746823069
644,0.322,2.746823069
645,0.3225,2.732160313
646,0.323,2.727272727
647,0.3235,2.727272727
648,0.324,2.727272727
649,0.3245,2.722385142
650,0.325,2.727272727
651,0.3255,2.737047898
652,0.326,2.737047898
653,0.3265,2.732160313
654,0.327,2.727272727
655,0.3275,2.727272727
656,0.328,2.722385142
657,0.3285,2.717497556
658,0.329,2.717497556
659,0.3295,2.712609971
660,0.33,2.717497556
661,0.3305,2.717497556
662,0.331,2.712609971
663,0.3315,2.712609971
664,0.332,2.727272727
665,0.3325,2.737047898
666,0.333,2.741935484
667,0.3335,2.751710655
668,0.334,2.766373412
669,0.3345,2.766373412
670,0.335,2.776148583
671,0.3355,2.785923754
672,0.336,2.790811339
673,0.3365,2.790811339
674,0.337,2.790811339
675,0.3375,2.781036168
676,0.338,2.771260997
677,0.3385,2.771260997
678,0.339,2.776148583
679,0.3395,2.771260997
680,0.34,2.766373412
681,0.3405,2.761485826
682,0.341,2.75659824
683,0.3415,2.751710655
684,0.342,2.746823069
685,0.3425,2.741935484
686,0.343,2.737047898
687,0.3435,2.737047898
688,0.344,2.732160313
689,0.3445,2.727272727
690,0.345,2.722385142
691,0.3455,2.722385142
692,0.346,2.727272727
693,0.3465,2.727272727
694,0.347,2.737047898
695,0.3475,2.741935484
696,0.348,2.741935484
697,0.3485,2.741935484
698,0.349,2.751710655
699,0.3495,2.761485826
700,0.35,2.771260997
701,0.3505,2.781036168
702,0.351,2.781036168
703,0.3515,2.776148583
704,0.352,2.785923754
705,0.3525,2.790811339
706,0.353,2.781036168
707,0.3535,2.771260997
708,0.354,2.75659824
709,0.3545,2.746823069
710,0.355,2.741935484
711,0.3555,2.732160313
712,0.356,2.727272727
713,0.3565,2.722385142
714,0.357,2.717497556
715,0.3575,2.717497556
716,0.358,2.717497556
