Time,Values
0.147,-0.028485915
0.1475,-0.022325549
0.148,-0.022893417
0.1485,-0.022213875
0.149,-0.029624538
0.1495,-0.036179131
0.15,-0.036962883
0.1505,-0.024807083
0.151,-0.012096535
0.1515,-0.007582998
0.152,-0.017026112
0.1525,-0.028424445
0.153,-0.037433963
0.1535,-0.040492705
0.154,-0.042351202
0.1545,-0.042258333
0.155,-0.039364456
0.1555,-0.036686098
0.156,-0.035999105
0.1565,-0.034784034
0.157,-0.029437209
0.1575,-0.024416499
0.158,-0.02926935
0.1585,-0.036007014
0.159,-0.033220943
0.1595,-0.026369519
0.16,-0.019999505
0.1605,-0.010890273
0.161,-0.002061354
0.1615,0.001702803
0.162,-0.001985796
0.1625,-0.006530188
0.163,-0.009618601
0.1635,-0.003211849
0.164,0.002637676
0.1645,0.007259105
0.165,0.006459627
0.1655,0.010381735
0.166,0.012985486
0.1665,0.01982994
0.167,0.018847867
0.1675,0.017681819
0.168,0.008324927
0.1685,0.004746047
0.169,-0.000331015
0.1695,0.010228508
0.17,0.016288545
0.1705,0.023646605
0.171,0.013767291
0.1715,0.006651874
0.172,-0.002681134
0.1725,0.007258174
0.173,0.012915292
0.1735,0.025854197
0.174,0.024946888
0.1745,0.032357752
0.175,0.029678714
0.1755,0.035094678
0.176,0.025790196
0.1765,0.026679728
0.177,0.02526238
0.1775,0.041719714
0.178,0.045129321
0.1785,0.056822018
0.179,0.051475584
0.1795,0.058666524
0.18,0.05305934
0.1805,0.056971881
0.181,0.042517595
0.1815,0.040774799
0.182,0.028068928
0.1825,0.033307936
0.183,0.028988204
0.1835,0.039561592
0.184,0.032386606
0.1845,0.032847442
0.185,0.012626722
0.1855,0.009192025
0.186,0.00339123
0.1865,0.017798598
0.187,0.019609636
0.1875,0.030496492
0.188,0.02559295
0.1885,0.029901648
0.189,0.023203912
0.1895,0.022454519
0.19,0.007749558
0.1905,0.010010116
0.191,0.010586379
0.1915,0.024868541
0.192,0.030834558
0.1925,0.045178948
0.193,0.046490187
0.1935,0.048965176
0.194,0.04122968
0.1945,0.03644432
0.195,0.02232184
0.1955,0.01199784
0.196,0.001795315
0.1965,0.004006771
0.197,0.005026629
0.1975,0.003658474
0.198,-0.007398319
0.1985,-0.022158335
0.199,-0.034021248
0.1995,-0.034951315
0.2,-0.027563248
0.2005,-0.019998746
0.201,-0.009829569
0.2015,-0.008228321
0.202,-0.008430128
0.2025,-0.010108017
0.203,-0.005671833
0.2035,-0.003760103
0.204,0.00298958
0.2045,0.00586949
0.205,0.008114246
0.2055,0.000833289
0.206,0.001032085
0.2065,-0.001880913
0.207,-0.00131482
0.2075,-0.009272286
0.208,-0.01153061
0.2085,-0.016604756
0.209,-0.009894155
0.2095,-0.00903306
0.21,-0.001424815
0.2105,-0.002215489
0.211,0.003619569
0.2115,-0.002469854
0.212,-0.008466143
0.2125,-0.020402804
0.213,-0.01647776
0.2135,-0.014402626
0.214,-0.010870384
0.2145,-0.017480761
0.215,-0.018832867
0.2155,-0.022849803
0.216,-0.019200302
0.2165,-0.022126139
0.217,-0.020167443
0.2175,-0.018374824
0.218,-0.007349882
0.2185,-0.00337349
0.219,-0.00446913
0.2195,-0.012665018
0.22,-0.014398443
0.2205,-0.010320917
0.221,-0.003652756
0.2215,-0.005286131
0.222,-0.009065163
0.2225,-0.008587567
0.223,-0.007697531
0.2235,-0.009760319
0.224,-0.012380135
0.2245,-0.013369822
0.225,-0.016899509
0.2255,-0.022440809
0.226,-0.023570037
0.2265,-0.016321481
0.227,-0.011505284
0.2275,-0.006400243
0.228,0.000418993
0.2285,0.008012264
0.229,0.010868175
0.2295,0.014167618
0.23,0.010886314
0.2305,0.009043437
0.231,0.007797637
0.2315,0.017487641
0.232,0.02722719
0.2325,0.03492565
0.233,0.033849258
0.2335,0.034138772
0.234,0.029345099
0.2345,0.026261022
0.235,0.019064847
0.2355,0.013185649
0.236,0.008481488
0.2365,0.005463522
0.237,0.004139382
0.2375,0.005990827
0.238,0.006393407
0.2385,0.007268807
0.239,0.00190599
0.2395,-0.005143905
0.24,-0.002692623
0.2405,0.00443177
0.241,0.013822914
0.2415,0.013648433
0.242,0.005326092
0.2425,-0.00704311
0.243,-0.007202734
0.2435,-0.00410699
0.244,0.005699755
0.2445,0.017319484
0.245,0.034524857
0.2455,0.040794125
0.246,0.03822083
0.2465,0.021753062
0.247,0.010170311
0.2475,-0.003516151
0.248,-0.004540964
0.2485,-0.006393489
0.249,0.002008103
0.2495,0.006869073
0.25,0.013948941
0.2505,0.002919327
0.251,-0.008754723
0.2515,-0.025706495
0.252,-0.02868674
0.2525,-0.035983702
0.253,-0.032122939
0.2535,-0.029623262
0.254,-0.017307004
0.2545,-0.01545663
0.255,-0.004356838
0.2555,-0.004354837
0.256,-0.001765335
0.2565,-0.006646931
0.257,-0.003825776
0.2575,-0.008774195
0.258,-0.002743908
0.2585,-0.003645738
0.259,-0.001831168
0.2595,-0.008002991
0.26,-0.008357917
0.2605,-0.014071478
0.261,-0.013133283
0.2615,-0.017815084
0.262,-0.01843851
0.2625,-0.023140251
0.263,-0.022192815
0.2635,-0.025224253
0.264,-0.023288376
0.2645,-0.02379386
0.265,-0.019223758
0.2655,-0.018377447
0.266,-0.018016196
0.2665,-0.020544785
0.267,-0.018547688
0.2675,-0.015379216
0.268,-0.010688285
0.2685,-0.006165707
0.269,-0.003002767
0.2695,-0.003243539
0.27,-0.000183714
0.2705,0.002587481
0.271,0.008106068
0.2715,0.017849085
0.272,0.025795931
0.2725,0.028786899
0.273,0.025842237
0.2735,0.021191502
0.274,0.015890493
0.2745,0.012188599
0.275,0.006545477
0.2755,0.003891768
0.276,0.00037787
0.2765,-0.002513642
0.277,-0.003119252
0.2775,0.002558664
0.278,0.00548582
0.2785,0.007206928
0.279,0.002338287
0.2795,-0.003802952
0.28,-0.004344136
0.2805,0.007697425
0.281,0.017251355
0.2815,0.021732419
0.282,0.02243806
0.2825,0.021366323
0.283,0.01775882
0.2835,0.016077657
0.284,0.011915088
0.2845,0.009301624
0.285,0.011009496
0.2855,0.022406231
0.286,0.031491149
0.2865,0.033242945
0.287,0.027842654
0.2875,0.027241766
0.288,0.031869422
0.2885,0.037521003
0.289,0.037320387
0.2895,0.032518109
0.29,0.02683931
0.2905,0.02236988
0.291,0.017148677
0.2915,0.014528279
0.292,0.016015516
0.2925,0.015944383
0.293,0.009432041
0.2935,0.006054034
0.294,0.010933716
0.2945,0.013188591
0.295,0.011227945
0.2955,0.010232884
0.296,0.012719019
0.2965,0.013383757
0.297,0.011699588
0.2975,0.005110577
0.298,0.000485864
0.2985,0.003699513
0.299,0.015747059
0.2995,0.024081905
0.3,0.022726789
0.3005,0.014352437
0.301,0.008213451
0.3015,0.003780502
0.302,0.002753362
0.3025,0.000985355
0.303,0.002516593
0.3035,-0.001470829
0.304,-0.006187537
0.3045,-0.017361788
0.305,-0.026065977
0.3055,-0.03088781
0.306,-0.029953345
0.3065,-0.034943211
0.307,-0.039651637
0.3075,-0.042392885
0.308,-0.04014248
0.3085,-0.039555739
0.309,-0.033552112
0.3095,-0.031671256
0.31,-0.028693088
0.3105,-0.030697443
0.311,-0.034119401
0.3115,-0.041321279
0.312,-0.035779811
0.3125,-0.023093416
0.313,-0.006267609
0.3135,-0.000118853
0.314,0.001862623
0.3145,-0.003089944
0.315,-0.007110227
0.3155,-0.011653975
0.316,-0.010292091
0.3165,-0.011713686
0.317,-0.016727883
0.3175,-0.026606925
0.318,-0.029382235
0.3185,-0.03126262
0.319,-0.025509725
0.3195,-0.020296896
0.32,-0.019527721
0.3205,-0.024041705
0.321,-0.021047333
0.3215,-0.016860096
0.322,-0.011718681
0.3225,-0.008846521
0.323,-0.007355234
0.3235,-0.009950104
0.324,-0.008332857
0.3245,-0.007450728
0.325,-0.003030898
0.3255,0.005007993
0.326,0.018382139
0.3265,0.02724348
0.327,0.029198747
0.3275,0.023033786
0.328,0.017703666
0.3285,0.013919327
0.329,0.014073173
0.3295,0.013961838
0.33,0.015177891
0.3305,0.016894734
0.331,0.020113555
0.3315,0.018569846
0.332,0.014603382
0.3325,0.016097512
0.333,0.020489976
0.3335,0.019419849
